Index,C2,C4,VDD,RL,EFFICIENCY,POWER OUT,PAE,THD
40320,2.2661616161616163e-10,3.427777777777778e-10,10,100,2.6063785201508782,0.385572,-0.9282315086457475,19.596803
40321,2.2661616161616163e-10,3.485858585858586e-10,10,100,2.5800300614034497,0.382781,-0.9447503757675436,19.293806
40322,2.2661616161616163e-10,3.5439393939393937e-10,10,100,2.5575721331523567,0.380623,-0.9562228702745564,18.995688
40323,2.2661616161616163e-10,3.602020202020202e-10,10,100,2.5340578641973655,0.378198,-0.9696139260013668,18.705921
40324,2.2661616161616163e-10,3.6601010101010105e-10,10,100,2.5117669456709795,0.376009,-0.981723324805109,18.432642
40325,2.2661616161616163e-10,3.7181818181818184e-10,10,100,2.4895295801844393,0.37389,-0.9924692878782831,18.168774
40326,2.2661616161616163e-10,3.776262626262626e-10,10,100,2.466521459070716,0.371431,-1.006368327035839,17.923237
40327,2.2661616161616163e-10,3.8343434343434346e-10,10,100,2.4464097760536996,0.369562,-1.0158476926845093,17.673479
40328,2.2661616161616163e-10,3.8924242424242425e-10,10,100,2.424941073939826,0.367284,-1.028159064049491,17.453132
40329,2.2661616161616163e-10,3.9505050505050503e-10,10,100,2.4046484693743255,0.36542,-1.0374957226711592,17.224984
40330,2.2661616161616163e-10,4.0085858585858587e-10,10,100,2.3837471783295707,0.363264,-1.048900204735157,17.007484
40331,2.2661616161616163e-10,4.066666666666667e-10,10,100,2.36372380310535,0.361255,-1.0589794088972928,16.797885
40332,2.2661616161616163e-10,4.124747474747475e-10,10,100,2.3445945505189205,0.359424,-1.0679130327008002,16.593868
40333,2.2661616161616163e-10,4.182828282828283e-10,10,100,2.325036755617429,0.3574,-1.0782016419677594,16.410033
40334,2.2661616161616163e-10,4.240909090909091e-10,10,100,2.306699442848155,0.35564,-1.0865628465983903,16.218958
40335,2.2661616161616163e-10,4.298989898989899e-10,10,100,2.2871325550561075,0.353625,-1.0964330757041685,16.044752
40336,2.2661616161616163e-10,4.357070707070707e-10,10,100,2.2686241751436844,0.351698,-1.1062202068026858,15.882592
40337,2.2661616161616163e-10,4.4151515151515153e-10,10,100,2.249810194181004,0.34967,-1.1168238730681628,15.723158
40338,2.2661616161616163e-10,4.4732323232323237e-10,10,100,2.232037464716449,0.34793,-1.1247498075442652,15.557838
40339,2.2661616161616163e-10,4.531313131313131e-10,10,100,2.214901619630018,0.34626,-1.132295371389095,15.412159
40340,2.2661616161616163e-10,4.5893939393939394e-10,10,100,2.1978885593085193,0.344552,-1.1401014257008895,15.262624
40341,2.2661616161616163e-10,4.647474747474748e-10,10,100,2.179918314375143,0.342657,-1.1492225869659263,15.125352
