time	Ix(U1:drainin)
6.013830082760718e-008	2.369997e+000
6.017000428989608e-008	2.747591e+000
6.020462318577742e-008	3.733328e+000
6.024778630834561e-008	5.929658e+000
6.028767793629514e-008	8.337953e+000
6.034031894259013e-008	1.082988e+001
6.036193326021209e-008	1.102325e+001
6.038371983069644e-008	1.033657e+001
6.041386730402881e-008	8.859597e+000
6.044183918441869e-008	7.452788e+000
6.046487193201136e-008	6.481256e+000
6.047932455516282e-008	6.051917e+000
6.049489665725755e-008	5.763539e+000
6.051480056335992e-008	5.554897e+000
6.053317028211908e-008	5.472075e+000
6.055443697792092e-008	5.451364e+000
6.057864279521499e-008	5.468715e+000
6.061124637692652e-008	5.519096e+000
6.065304434009520e-008	5.599648e+000
6.071109879958759e-008	5.723354e+000
6.078418848557873e-008	5.887135e+000
6.087480061771888e-008	6.094929e+000
6.098485428866146e-008	6.348387e+000
6.112348399131219e-008	6.664741e+000
6.129602931699069e-008	7.050011e+000
6.151505075518189e-008	7.521549e+000
6.179437839559798e-008	8.089474e+000
6.215653498479872e-008	8.766172e+000
6.255653498479791e-008	9.430287e+000
6.295653498479709e-008	9.996138e+000
6.335653498479627e-008	1.045395e+001
6.375653498479546e-008	1.079761e+001
6.415653498479464e-008	1.102276e+001
6.455653498479382e-008	1.115396e+001
6.460100000000043e-008	1.116063e+001
6.468993003041366e-008	1.116263e+001
6.482313993917316e-008	1.115425e+001
6.500099999999962e-008	1.112936e+001
6.500109999999956e-008	1.120125e+001
6.500129999999944e-008	1.133860e+001
6.500169999999919e-008	1.159655e+001
6.500199999999901e-008	1.178011e+001
6.500223999999988e-008	1.173272e+001
6.500255999999935e-008	1.168713e+001
6.500319999999828e-008	1.161333e+001
6.500432913240665e-008	1.151279e+001
6.500658739722169e-008	1.137860e+001
6.501110392685347e-008	1.123357e+001
6.501926489421503e-008	1.112578e+001
6.502799236369998e-008	1.109195e+001
6.504059627922240e-008	1.108238e+001
6.505948206431077e-008	1.107441e+001
6.509725363448581e-008	1.105763e+001
6.517279677483591e-008	1.101809e+001
6.529488503221521e-008	1.093073e+001
6.540809892287859e-008	1.080614e+001
6.550418723327085e-008	1.062740e+001
6.558369814706758e-008	1.036628e+001
6.565511626101859e-008	9.960013e+000
6.572608136115973e-008	9.300034e+000
6.579996683320212e-008	8.348542e+000
6.587657780702983e-008	7.366690e+000
6.596423192533123e-008	6.602195e+000
6.605939680986067e-008	6.163772e+000
6.614999026422807e-008	5.944374e+000
6.624553685079240e-008	5.797929e+000
6.633735497240344e-008	5.688082e+000
6.642426403828149e-008	5.593744e+000
6.651318733699862e-008	5.498288e+000
6.660879508733096e-008	5.393643e+000
6.670765318126278e-008	5.279797e+000
6.681221029508762e-008	5.151449e+000
6.692184628433286e-008	5.008173e+000
6.704544139758577e-008	4.831672e+000
6.718546747936292e-008	4.600702e+000
6.735217520633662e-008	4.267309e+000
6.755293292740022e-008	3.795642e+000
6.781426569533441e-008	3.211179e+000
6.815765513940623e-008	2.638148e+000
6.844847618853189e-008	2.276305e+000
6.870624337260446e-008	1.987746e+000
6.899671054925240e-008	1.669064e+000
6.927743715941469e-008	1.362717e+000
6.959111221989747e-008	1.022502e+000
6.990624430765693e-008	6.849865e-001
7.028863589123235e-008	2.838814e-001
7.068863589123153e-008	-1.227590e-001
7.108863589123071e-008	-5.120557e-001
7.148863589122989e-008	-8.796333e-001
7.188863589122908e-008	-1.221197e+000
7.228863589122826e-008	-1.532802e+000
7.268863589122744e-008	-1.813281e+000
7.308863589122663e-008	-2.075314e+000
7.348863589122581e-008	-2.373974e+000
7.388863589122499e-008	-2.751156e+000
7.428863589122418e-008	-3.086794e+000
7.468863589122336e-008	-3.241621e+000
7.508863589122254e-008	-3.233615e+000
7.548863589122172e-008	-3.116631e+000
7.588863589122091e-008	-2.911927e+000
7.628863589122009e-008	-2.628180e+000
7.668863589121927e-008	-2.272780e+000
7.708863589121846e-008	-1.854512e+000
7.748863589121764e-008	-1.417558e+000
7.783979214933175e-008	-1.117567e+000
7.805098690665223e-008	-9.888537e-001
7.824427251900422e-008	-7.938731e-001
7.837139813930364e-008	-5.672204e-001
7.849499431455460e-008	-2.976727e-001
7.862951569707762e-008	-4.324393e-003
7.882989891968786e-008	3.992168e-001
7.904074438908628e-008	7.701327e-001
7.933056656619954e-008	1.220796e+000
7.962392208348633e-008	1.655451e+000
7.971487401900214e-008	1.788878e+000
7.981809612896761e-008	1.939025e+000
7.999999999999923e-008	2.208672e+000
8.000029999999905e-008	2.004107e+000
8.000069999999881e-008	1.762426e+000
8.000099999999863e-008	1.597600e+000
8.000123999999950e-008	1.652641e+000
8.000155999999896e-008	1.713939e+000
8.000219999999790e-008	1.804643e+000
8.000347999999746e-008	1.910815e+000
8.000603999999658e-008	1.997328e+000
