  Time                 , I(U1:DRAININ)        
  7.902411178470e-06  ,1.004182215286e+01  
  7.902421178546e-06  ,1.005828272352e+01  
  7.902431178622e-06  ,1.007467718712e+01  
  7.902441178698e-06  ,1.009100539951e+01  
  7.902451178775e-06  ,1.010726721731e+01  
  7.902461178851e-06  ,1.012346249784e+01  
  7.902471178927e-06  ,1.013959109914e+01  
  7.902481179003e-06  ,1.015565287998e+01  
  7.902491179079e-06  ,1.017164769983e+01  
  7.902501179155e-06  ,1.018757541891e+01  
  7.902511179231e-06  ,1.020343589811e+01  
  7.902521179308e-06  ,1.021922899907e+01  
  7.902531179384e-06  ,1.023495458413e+01  
  7.902541179460e-06  ,1.025061251634e+01  
  7.902551179536e-06  ,1.026620265946e+01  
  7.902561179612e-06  ,1.028172487796e+01  
  7.902571179688e-06  ,1.029717903703e+01  
  7.902581179764e-06  ,1.031256500254e+01  
  7.902591179841e-06  ,1.032788264111e+01  
  7.902601179917e-06  ,1.034313182001e+01  
  7.902611179993e-06  ,1.035831240727e+01  
  7.902621180069e-06  ,1.037342427160e+01  
  7.902631180145e-06  ,1.038846728240e+01  
  7.902641180221e-06  ,1.040344130981e+01  
  7.902651180297e-06  ,1.041834622463e+01  
  7.902661180374e-06  ,1.043318189840e+01  
  7.902671180450e-06  ,1.044794820334e+01  
  7.902681180526e-06  ,1.046264501239e+01  
  7.902691180602e-06  ,1.047727219917e+01  
  7.902701180678e-06  ,1.049182963801e+01  
  7.902711180754e-06  ,1.050631720395e+01  
  7.902721180830e-06  ,1.052073477272e+01  
  7.902731180907e-06  ,1.053508222075e+01  
  7.902741180983e-06  ,1.054935942518e+01  
  7.902751181059e-06  ,1.056356626384e+01  
  7.902761181135e-06  ,1.057770261527e+01  
  7.902771181211e-06  ,1.059176835869e+01  
  7.902781181287e-06  ,1.060576337404e+01  
  7.902791181364e-06  ,1.061968754195e+01  
  7.902801181440e-06  ,1.063354074376e+01  
  7.902811181516e-06  ,1.064732286150e+01  
  7.902821181592e-06  ,1.066103377789e+01  
  7.902831181668e-06  ,1.067467337637e+01  
  7.902841181744e-06  ,1.068824154107e+01  
  7.902851181820e-06  ,1.070173815681e+01  
  7.902861181897e-06  ,1.071516310914e+01  
  7.902871181973e-06  ,1.072851628427e+01  
  7.902881182049e-06  ,1.074179756914e+01  
  7.902891182125e-06  ,1.075500685138e+01  
  7.902901182201e-06  ,1.076814401931e+01  
  7.902911182277e-06  ,1.078120896198e+01  
  7.902921182353e-06  ,1.079420156910e+01  
  7.902931182430e-06  ,1.080712173111e+01  
  7.902941182506e-06  ,1.081996933914e+01  
  7.902951182582e-06  ,1.083274428503e+01  
  7.902961182658e-06  ,1.084544646131e+01  
  7.902971182734e-06  ,1.085807576122e+01  
  7.902981182810e-06  ,1.087063207870e+01  
  7.902991182886e-06  ,1.088311530839e+01  
  7.903001182963e-06  ,1.089552534564e+01  
  7.903011183039e-06  ,1.090786208648e+01  
  7.903021183115e-06  ,1.092012542767e+01  
  7.903031183191e-06  ,1.093231526667e+01  
  7.903041183267e-06  ,1.094443150162e+01  
  7.903051183343e-06  ,1.095647403139e+01  
  7.903061183419e-06  ,1.096844275554e+01  
  7.903071183496e-06  ,1.098033757435e+01  
  7.903081183572e-06  ,1.099215838878e+01  
  7.903091183648e-06  ,1.100390510051e+01  
  7.903101183724e-06  ,1.101557761193e+01  
  7.903111183800e-06  ,1.102717582613e+01  
  7.903121183876e-06  ,1.103869964691e+01  
  7.903131183952e-06  ,1.105014897876e+01  
  7.903141184029e-06  ,1.106152372691e+01  
  7.903151184105e-06  ,1.107282379726e+01  
  7.903161184181e-06  ,1.108404909644e+01  
  7.903171184257e-06  ,1.109519953179e+01  
  7.903181184333e-06  ,1.110627501134e+01  
  7.903191184409e-06  ,1.111727544385e+01  
  7.903201184485e-06  ,1.112820073877e+01  
  7.903211184562e-06  ,1.113905080628e+01  
  7.903221184638e-06  ,1.114982555725e+01  
  7.903231184714e-06  ,1.116052490327e+01  
  7.903241184790e-06  ,1.117114875665e+01  
  7.903251184866e-06  ,1.118169703038e+01  
  7.903261184942e-06  ,1.119216963820e+01  
  7.903271185019e-06  ,1.120256649454e+01  
  7.903281185095e-06  ,1.121288751455e+01  
  7.903291185171e-06  ,1.122313261408e+01  
  7.903301185247e-06  ,1.123330170970e+01  
  7.903311185323e-06  ,1.124339471870e+01  
  7.903321185399e-06  ,1.125341155908e+01  
  7.903331185475e-06  ,1.126335214955e+01  
  7.903341185552e-06  ,1.127321640953e+01  
  7.903351185628e-06  ,1.128300425918e+01  
  7.903361185704e-06  ,1.129271561935e+01  
  7.903371185780e-06  ,1.130235041160e+01  
  7.903381185856e-06  ,1.131190855823e+01  
  7.903391185932e-06  ,1.132138998225e+01  
  7.903401186008e-06  ,1.133079460737e+01  
  7.903411186085e-06  ,1.134012235804e+01  
  7.903421186161e-06  ,1.134937315941e+01  
  7.903431186237e-06  ,1.135854693736e+01  
  7.903441186313e-06  ,1.136764361848e+01  
  7.903451186389e-06  ,1.137666313008e+01  
  7.903461186465e-06  ,1.138560540018e+01  
  7.903471186541e-06  ,1.139447035755e+01  
  7.903481186618e-06  ,1.140325793165e+01  
  7.903491186694e-06  ,1.141196805267e+01  
  7.903501186770e-06  ,1.142060065152e+01  
  7.903511186846e-06  ,1.142915565983e+01  
  7.903521186922e-06  ,1.143763300995e+01  
  7.903531186998e-06  ,1.144603263496e+01  
  7.903541187074e-06  ,1.145435446864e+01  
  7.903551187151e-06  ,1.146259844553e+01  
  7.903561187227e-06  ,1.147076450085e+01  
  7.903571187303e-06  ,1.147885257057e+01  
  7.903581187379e-06  ,1.148686259137e+01  
  7.903591187455e-06  ,1.149479450067e+01  
  7.903601187531e-06  ,1.150264823660e+01  
  7.903611187607e-06  ,1.151042373801e+01  
  7.903621187684e-06  ,1.151812094449e+01  
  7.903631187760e-06  ,1.152573979634e+01  
  7.903641187836e-06  ,1.153328023459e+01  
  7.903651187912e-06  ,1.154074220100e+01  
  7.903661187988e-06  ,1.154812563806e+01  
  7.903671188064e-06  ,1.155543048896e+01  
  7.903681188140e-06  ,1.156265669765e+01  
  7.903691188217e-06  ,1.156980420879e+01  
  7.903701188293e-06  ,1.157687296776e+01  
  7.903711188369e-06  ,1.158386292068e+01  
  7.903721188445e-06  ,1.159077401439e+01  
  7.903731188521e-06  ,1.159760619646e+01  
  7.903741188597e-06  ,1.160435941519e+01  
  7.903751188673e-06  ,1.161103361960e+01  
  7.903761188750e-06  ,1.161762875945e+01  
  7.903771188826e-06  ,1.162414478523e+01  
  7.903781188902e-06  ,1.163058164814e+01  
  7.903791188978e-06  ,1.163693930013e+01  
  7.903801189054e-06  ,1.164321769387e+01  
  7.903811189130e-06  ,1.164941678275e+01  
  7.903821189207e-06  ,1.165553652091e+01  
  7.903831189283e-06  ,1.166157686321e+01  
  7.903841189359e-06  ,1.166753776524e+01  
  7.903851189435e-06  ,1.167341918332e+01  
  7.903861189511e-06  ,1.167922107450e+01  
  7.903871189587e-06  ,1.168494339656e+01  
  7.903881189663e-06  ,1.169058610803e+01  
  7.903891189740e-06  ,1.169614916814e+01  
  7.903901189816e-06  ,1.170163253687e+01  
  7.903911189892e-06  ,1.170703617494e+01  
  7.903921189968e-06  ,1.171236004377e+01  
  7.903931190044e-06  ,1.171760410555e+01  
  7.903941190120e-06  ,1.172276832318e+01  
  7.903951190196e-06  ,1.172785266029e+01  
  7.903961190273e-06  ,1.173285708126e+01  
  7.903971190349e-06  ,1.173778155119e+01  
  7.903981190425e-06  ,1.174262603591e+01  
  7.903991190501e-06  ,1.174739050200e+01  
  7.904001190577e-06  ,1.175207491675e+01  
  7.904011190653e-06  ,1.175667924820e+01  
  7.904021190729e-06  ,1.176120346513e+01  
  7.904031190806e-06  ,1.176564753702e+01  
  7.904041190882e-06  ,1.177001143411e+01  
  7.904051190958e-06  ,1.177429512738e+01  
  7.904061191034e-06  ,1.177849858853e+01  
  7.904071191110e-06  ,1.178262178999e+01  
  7.904081191186e-06  ,1.178666470494e+01  
  7.904091191262e-06  ,1.179062730728e+01  
  7.904101191339e-06  ,1.179450957166e+01  
  7.904111191415e-06  ,1.179831147343e+01  
  7.904121191491e-06  ,1.180203298872e+01  
  7.904131191567e-06  ,1.180567409436e+01  
  7.904141191643e-06  ,1.180923476794e+01  
  7.904151191719e-06  ,1.181271498775e+01  
  7.904161191795e-06  ,1.181611473286e+01  
  7.904171191872e-06  ,1.181943398303e+01  
  7.904181191948e-06  ,1.182267271879e+01  
  7.904191192024e-06  ,1.182583092139e+01  
  7.904201192100e-06  ,1.182890857280e+01  
  7.904211192176e-06  ,1.183190565575e+01  
  7.904221192252e-06  ,1.183482215369e+01  
  7.904231192328e-06  ,1.183765805082e+01  
  7.904241192405e-06  ,1.184041333205e+01  
  7.904251192481e-06  ,1.184308798303e+01  
  7.904261192557e-06  ,1.184568199018e+01  
  7.904271192633e-06  ,1.184819534061e+01  
  7.904281192709e-06  ,1.185062802218e+01  
  7.904291192785e-06  ,1.185298002349e+01  
  7.904301192861e-06  ,1.185525133388e+01  
  7.904311192938e-06  ,1.185744194340e+01  
  7.904321193014e-06  ,1.185955184286e+01  
  7.904331193090e-06  ,1.186158102380e+01  
  7.904341193166e-06  ,1.186352947847e+01  
  7.904351193242e-06  ,1.186539719990e+01  
  7.904361193318e-06  ,1.186718418180e+01  
  7.904371193395e-06  ,1.186889041867e+01  
  7.904381193471e-06  ,1.187051590569e+01  
  7.904391193547e-06  ,1.187206063882e+01  
  7.904401193623e-06  ,1.187352461472e+01  
  7.904411193699e-06  ,1.187490783080e+01  
  7.904421193775e-06  ,1.187621028521e+01  
  7.904431193851e-06  ,1.187743197682e+01  
  7.904441193928e-06  ,1.187857290523e+01  
  7.904451194004e-06  ,1.187963307080e+01  
  7.904461194080e-06  ,1.188061247458e+01  
  7.904471194156e-06  ,1.188151111840e+01  
  7.904481194232e-06  ,1.188232900479e+01  
  7.904491194308e-06  ,1.188306613703e+01  
  7.904501194384e-06  ,1.188372251911e+01  
  7.904511194461e-06  ,1.188429815579e+01  
  7.904521194537e-06  ,1.188479305252e+01  
  7.904531194613e-06  ,1.188520721552e+01  
  7.904541194689e-06  ,1.188554065172e+01  
  7.904551194765e-06  ,1.188579336878e+01  
  7.904561194841e-06  ,1.188596537510e+01  
  7.904571194917e-06  ,1.188605667981e+01  
  7.904581194994e-06  ,1.188606729277e+01  
  7.904591195070e-06  ,1.188599722457e+01  
  7.904601195146e-06  ,1.188584648654e+01  
  7.904611195222e-06  ,1.188561509072e+01  
  7.904621195298e-06  ,1.188530304990e+01  
  7.904631195374e-06  ,1.188491037759e+01  
  7.904641195450e-06  ,1.188443708803e+01  
  7.904651195527e-06  ,1.188388319620e+01  
  7.904661195603e-06  ,1.188324871778e+01  
  7.904671195679e-06  ,1.188253366922e+01  
  7.904681195755e-06  ,1.188173806767e+01  
  7.904691195831e-06  ,1.188086193102e+01  
  7.904701195907e-06  ,1.187990527789e+01  
  7.904711195983e-06  ,1.187886812760e+01  
  7.904721196060e-06  ,1.187775050024e+01  
  7.904731196136e-06  ,1.187655241661e+01  
  7.904741196212e-06  ,1.187527389822e+01  
  7.904751196288e-06  ,1.187391496732e+01  
  7.904761196364e-06  ,1.187247564691e+01  
  7.904771196440e-06  ,1.187095596066e+01  
  7.904781196516e-06  ,1.186935593303e+01  
  7.904791196593e-06  ,1.186767558915e+01  
  7.904801196669e-06  ,1.186591495491e+01  
  7.904811196745e-06  ,1.186407405692e+01  
  7.904821196821e-06  ,1.186215292249e+01  
  7.904831196897e-06  ,1.186015157968e+01  
  7.904841196973e-06  ,1.185807005727e+01  
  7.904851197050e-06  ,1.185590838476e+01  
  7.904861197126e-06  ,1.185366659236e+01  
  7.904871197202e-06  ,1.185134471101e+01  
  7.904881197278e-06  ,1.184894277239e+01  
  7.904891197354e-06  ,1.184646080888e+01  
  7.904901197430e-06  ,1.184389885359e+01  
  7.904911197506e-06  ,1.184125694034e+01  
  7.904921197583e-06  ,1.183853510369e+01  
  7.904931197659e-06  ,1.183573337890e+01  
  7.904941197735e-06  ,1.183285180196e+01  
  7.904951197811e-06  ,1.182989040959e+01  
  7.904961197887e-06  ,1.182684923920e+01  
  7.904971197963e-06  ,1.182372832893e+01  
  7.904981198039e-06  ,1.182052771766e+01  
  7.904991198116e-06  ,1.181724744496e+01  
  7.905001000016e-06  ,1.181396032092e+01  
  7.905001100014e-06  ,1.188676326473e+01  
  7.905001300012e-06  ,1.202758701697e+01  
  7.905001700008e-06  ,1.228868828857e+01  
  7.905002000016e-06  ,1.246698809947e+01  
  7.905002080015e-06  ,1.245320627556e+01  
  7.905002240018e-06  ,1.242667894688e+01  
  7.905002560024e-06  ,1.237801763925e+01  
  7.905003200035e-06  ,1.229584389282e+01  
  7.905004480058e-06  ,1.217238282167e+01  
  7.905007040104e-06  ,1.201482042620e+01  
  7.905012160195e-06  ,1.185941238512e+01  
